"Year","Month","Country","City","ATM","PAX","Capacity","lon","lat"
2013,1,"Austria","Vienna",171,6557,13652,16.37208,48.20849
2013,1,"Belgium","Brussels",284,26374,43564,4.34878,50.85045
2013,1,"Canary Islands - Spain","Tenerife",8,1231,1494,-16.25462,28.46824
2013,1,"Croatia","Zagreb",63,2504,10240,15.97798,45.81444
2013,1,"Cyprus","Larnaca",8,1234,1440,33.62917,34.91667
2013,1,"Czech Republic","Prague",90,2569,5992,14.42076,50.08804
2013,1,"Denmark","Billund",26,2815,4914,9.10785,55.73349
2013,1,"Denmark","Copenhagen",34,3253,6363,12.56553,55.67594
2013,1,"Egypt","Cairo",45,2510,3348,31.24967,30.06263
2013,1,"Egypt","Hurghada",8,1167,1416,33.81291,27.25738
2013,1,"Finland","Helsinki",83,5208,10581,24.93545,60.16952
2013,1,"Finland","Tampere",20,2789,3780,23.78712,61.49911
2013,1,"France","Lyon",28,1114,2688,4.84671,45.74846
2013,1,"France","Paris",248,27554,38394,2.3488,48.85341
2013,1,"Germany","Berlin",194,14543,28042,13.41377,52.5233
2013,1,"Germany","Cologne",55,5014,8238,6.95,50.93333
2013,1,"Germany","Dortmund",29,3891,5190,7.466,51.51494
2013,1,"Germany","Dresden",2,35,200,13.75,51.05
2013,1,"Germany","Dusseldorf",126,7679,13071,6.77425,51.22492
2013,1,"Germany","Frankfurt",236,20736,35068,8.67185,50.11035
2013,1,"Germany","Hahn",32,4053,5850,-106.63475,35.1306
2013,1,"Germany","Hamburg",52,2300,4524,10.01534,53.57532
2013,1,"Germany","Karlsruhe",8,1055,1512,8.38583,49.00472
2013,1,"Germany","Munich",263,20566,39314,11.57549,48.13743
2013,1,"Germany","Stuttgart",97,7754,13980,9.17702,48.78232
2013,1,"Greece","Athens",10,1107,1640,23.71622,37.97945
2013,1,"Greece","Thessaloniki",8,1355,1512,22.94389,40.64028
2013,1,"Ireland","Dublin",94,13092,17154,-6.27113,53.38046
2013,1,"Israel","Tel Aviv",77,8545,11486,34.78057,32.08088
2013,1,"Italy","Bari",21,2613,3678,16.85118,41.11773
2013,1,"Italy","Bologna",6,816,1134,11.33875,44.49381
2013,1,"Italy","Brescia",1,1,174,10.22727,45.52478
2013,1,"Italy","Milan",162,19472,29772,9.18951,45.46427
2013,1,"Italy","Naples",16,2142,2880,14.25,40.83333
2013,1,"Italy","Rome",142,17325,25184,12.4839,41.89474
2013,1,"Italy","Treviso",28,2810,5292,12.245,45.66667
2013,1,"Kazakhstan","Atyrau",2,206,378,51.88333,47.11667
2013,1,"Latvia","Riga",24,899,1824,24.10589,56.946
2013,1,"Malta","Malta",3,500,501,14.43333,35.91667
2013,1,"Netherland","Amsterdam",207,23878,33999,4.88969,52.37403
2013,1,"Netherland","Eindhoven",126,16176,23022,5.47778,51.44083
2013,1,"Norway","Oslo",56,6379,10482,10.74609,59.91273
2013,1,"Poland","Krakow",9,688,1656,19.93658,50.06143
2013,1,"Poland","Warsaw",229,13290,26324,21.01178,52.22977
2013,1,"Portugal","Lisbon",58,5167,8796,-9.13333,38.71667
2013,1,"Qatar","Doha",62,8609,10124,51.52245,25.27932
2013,1,"Romania","Bucharest",110,3278,5712,26.10626,44.43225
2013,1,"Romania","Tirgu Mures",22,2726,3960,24.55747,46.54245
2013,1,"Russia","Ekaterinburg",6,654,1020,60.6125,56.8575
2013,1,"Russia","Moscow",133,9728,18196,37.5,55.75
2013,1,"Russia","Rostov",3,338,345,39.72328,47.23135
2013,1,"Russia","St.Petersburg",9,1548,1796,30.26417,59.89444
2013,1,"Spain","Barcelona",68,9940,12600,2.15899,41.38879
2013,1,"Spain","Madrid",60,9191,11106,-3.70256,40.4165
2013,1,"Sweden","Gothenburg",52,5832,9594,11.96679,57.70716
2013,1,"Sweden","Malmo",38,4815,6840,13.00073,55.60587
2013,1,"Sweden","Stockholm",112,10382,20736,18.0649,59.33258
2013,1,"Switzerland","Basel",34,4412,5304,7.57327,47.5584
2013,1,"Switzerland","Basel",34,4412,5304,7.57327,47.5584
2013,1,"Switzerland","Bern",20,290,620,7.44744,46.94809
2013,1,"Switzerland","Geneva",98,10390,15912,6.14569,46.20222
2013,1,"Switzerland","Zurich",185,15097,25234,8.55,47.36667
2013,1,"Turkey","Istanbul",118,10577,17540,28.94966,41.01384
2013,1,"Ukraine","Kiev",40,4722,6440,30.5238,50.45466
2013,1,"United Kingdom","Birmingham",6,872,1134,-1.8980725,52.4813678
2013,1,"United Kingdom","Bristol",18,2919,3402,-71.08852,41.75709
2013,1,"United Kingdom","Edinburgh",18,2320,2652,-3.1932723,55.9483399
2013,1,"United Kingdom","London",625,77651,107836,-0.1278328,51.5072648
2013,1,"United Kingdom","Manchester",54,8002,9550,-2.23743,53.48095
2013,2,"Austria","Vienna",148,6379,11856,16.37208,48.20849
2013,2,"Belgium","Brussels",266,26612,39558,4.34878,50.85045
2013,2,"Canary Islands - Spain","Tenerife",8,1410,1488,-16.25462,28.46824
2013,2,"Croatia","Zagreb",54,1888,9606,15.97798,45.81444
2013,2,"Cyprus","Larnaca",8,1204,1440,33.62917,34.91667
2013,2,"Czech Republic","Prague",99,2992,6922,14.42076,50.08804
2013,2,"Denmark","Billund",24,2826,4536,9.10785,55.73349
2013,2,"Denmark","Copenhagen",32,3330,5979,12.56553,55.67594
2013,2,"Egypt","Cairo",40,2102,2888,31.24967,30.06263
2013,2,"Egypt","Hurghada",8,1164,1180,33.81291,27.25738
2013,2,"Egypt","Sharm el Sheikh",1,130,144,34.30499,27.85183
2013,2,"Finland","Helsinki",112,6128,13920,24.93545,60.16952
2013,2,"Finland","Tampere",16,2129,3024,23.78712,61.49911
2013,2,"France","Lyon",24,774,2232,4.84671,45.74846
2013,2,"France","Paris",232,27142,36466,2.3488,48.85341
2013,2,"Germany","Berlin",149,13625,21214,13.41377,52.5233
2013,2,"Germany","Cologne",52,5092,7800,6.95,50.93333
2013,2,"Germany","Dortmund",23,3223,4140,7.466,51.51494
2013,2,"Germany","Dusseldorf",123,6970,11680,6.77425,51.22492
2013,2,"Germany","Frankfurt",222,19848,32562,8.67185,50.11035
2013,2,"Germany","Hahn",16,2121,2880,-106.63475,35.1306
2013,2,"Germany","Hamburg",47,2357,4089,10.01534,53.57532
2013,2,"Germany","Munich",262,22010,39032,11.57549,48.13743
2013,2,"Germany","Paderborn",1,143,180,8.75536,51.71364
2013,2,"Germany","Stuttgart",78,7425,11280,9.17702,48.78232
2013,2,"Ireland","Dublin",84,11168,15096,-6.27113,53.38046
2013,2,"Israel","Tel Aviv",61,7374,9270,34.78057,32.08088
2013,2,"Italy","Bari",16,2030,2880,16.85118,41.11773
2013,2,"Italy","Milan",145,17913,26613,9.18951,45.46427
2013,2,"Italy","Naples",16,2306,2880,14.25,40.83333
2013,2,"Italy","Rome",122,14442,21776,12.4839,41.89474
2013,2,"Italy","Treviso",24,2737,4536,12.245,45.66667
2013,2,"Kazakhstan","Atyrau",1,90,148,51.88333,47.11667
2013,2,"Latvia","Riga",24,861,1824,24.10589,56.946
2013,2,"Netherland","Amsterdam",194,23412,32710,4.88969,52.37403
2013,2,"Netherland","Eindhoven",104,14001,18936,5.47778,51.44083
2013,2,"Norway","Oslo",40,5087,7452,10.74609,59.91273
2013,2,"Poland","Warsaw",206,12151,22920,21.01178,52.22977
2013,2,"Portugal","Lisbon",56,5325,8592,-9.13333,38.71667
2013,2,"Qatar","Doha",56,7573,9960,51.52245,25.27932
2013,2,"Romania","Bucharest",118,3956,6096,26.10626,44.43225
2013,2,"Romania","Tirgu Mures",16,2019,2880,24.55747,46.54245
2013,2,"Russia","Moscow",108,9551,14688,37.5,55.75
2013,2,"Slovakia","Bratislava",1,173,194,17.10674,48.14816
2013,2,"Spain","Barcelona",56,8537,10368,2.15899,41.38879
2013,2,"Spain","Madrid",49,7570,9068,-3.70256,40.4165
2013,2,"Sweden","Gothenburg",48,5603,8856,11.96679,57.70716
2013,2,"Sweden","Malmo",34,4161,6120,13.00073,55.60587
2013,2,"Sweden","Norrkoping",2,195,360,16.1826,58.59419
2013,2,"Sweden","Stockholm",102,10222,18927,18.0649,59.33258
2013,2,"Switzerland","Basel",32,4520,4992,7.57327,47.5584
2013,2,"Switzerland","Basel",32,4520,4992,7.57327,47.5584
2013,2,"Switzerland","Bern",18,244,558,7.44744,46.94809
2013,2,"Switzerland","Geneva",102,12255,16488,6.14569,46.20222
2013,2,"Switzerland","Zurich",167,15246,23031,8.55,47.36667
2013,2,"Tunesia","Monastir",1,88,120,21.34028,41.03111
2013,2,"Turkey","Istanbul",112,11536,17090,28.94966,41.01384
2013,2,"Ukraine","Kiev",32,4152,5760,30.5238,50.45466
2013,2,"United Kingdom","Bristol",16,2608,3024,-71.08852,41.75709
2013,2,"United Kingdom","Edinburgh",16,2265,2356,-3.1932723,55.9483399
2013,2,"United Kingdom","London",576,78068,99471,-0.1278328,51.5072648
2013,2,"United Kingdom","Manchester",50,7595,8384,-2.23743,53.48095
2013,3,"Austria","Vienna",176,8365,14480,16.37208,48.20849
2013,3,"Belgium","Brussels",310,32487,47148,4.34878,50.85045
2013,3,"Bulgaria","Sofia",1,89,170,23.32415,42.69751
2013,3,"Canary Islands - Spain","Tenerife",2,224,372,-16.25462,28.46824
2013,3,"Croatia","Zagreb",61,2863,10682,15.97798,45.81444
2013,3,"Cyprus","Larnaca",20,2536,3560,33.62917,34.91667
2013,3,"Cyprus","Paphos",4,479,756,32.41667,34.76667
2013,3,"Czech Republic","Prague",152,4977,10518,14.42076,50.08804
2013,3,"Denmark","Billund",28,3662,5292,9.10785,55.73349
2013,3,"Denmark","Copenhagen",37,4591,6701,12.56553,55.67594
2013,3,"Egypt","Cairo",46,2453,3312,31.24967,30.06263
2013,3,"Egypt","Hurghada",10,1442,1466,33.81291,27.25738
2013,3,"Egypt","Sharm el Sheikh",10,1290,1440,34.30499,27.85183
2013,3,"Finland","Helsinki",121,10110,15748,24.93545,60.16952
2013,3,"Finland","Tampere",18,2757,3402,23.78712,61.49911
2013,3,"France","Lyon",26,1310,2544,4.84671,45.74846
2013,3,"France","Paris",262,34607,41112,2.3488,48.85341
2013,3,"Germany","Berlin",166,17451,24236,13.41377,52.5233
2013,3,"Germany","Cologne",62,7159,9258,6.95,50.93333
2013,3,"Germany","Dortmund",48,6800,8640,7.466,51.51494
2013,3,"Germany","Dusseldorf",117,7623,11041,6.77425,51.22492
