"City","Country","ATM","PAX","Capacity","potential","seats","lon","lat"
"London","United Kingdom",41604,6571090,7464146,88,158,-0.1278328,51.5072648
"Paris","France",18287,2587342,2961729,87,141,2.3488,48.85341
"Brussels","Belgium",18414,2418755,2980702,81,131,4.34878,50.85045
"Frankfurt","Germany",16338,2067201,2782190,74,127,8.67185,50.11035
"Amsterdam","Netherland",12747,1890790,2201347,86,148,4.88969,52.37403
"Rome","Italy",11728,1749865,2138889,82,149,12.4839,41.89474
"Munich","Germany",15834,1640264,2356333,70,104,11.57549,48.13743
"Milan","Italy",9409,1535812,1825884,84,163,9.18951,45.46427
"Istanbul","Turkey",13246,1535506,2122561,72,116,28.94966,41.01384
"Berlin","Germany",11451,1431665,1838720,78,125,13.41377,52.5233
"Tel Aviv","Israel",8712,1387946,1582995,88,159,34.78057,32.08088
"Moscow","Russia",10854,1294428,1698651,76,119,37.5,55.75
"Eindhoven","Netherland",6331,1097266,1263223,87,173,5.47778,51.44083
"Barcelona","Spain",5920,1024067,1143435,90,173,2.15899,41.38879
"Zurich","Switzerland",10630,1021547,1263176,81,96,8.55,47.36667
"Warsaw","Poland",14590,1006481,1421258,71,69,21.01178,52.22977
"Dublin","Ireland",6146,1004600,1122922,89,163,-6.27113,53.38046
"Helsinki","Finland",7941,1003272,1253830,80,126,24.93545,60.16952
"Stockholm","Sweden",6136,941024,1166231,81,153,18.0649,59.33258
"Madrid","Spain",5477,925552,1032850,90,169,-3.70256,40.4165
"Copenhagen","Denmark",5422,796914,968175,82,147,12.56553,55.67594
"Dubai","United Arab Emirates",3656,762776,1027973,74,209,55.30472,25.25817
"Oslo","Norway",4771,734746,876370,84,154,10.74609,59.91273
"Manchester","United Kingdom",4084,680236,726788,94,167,-2.23743,53.48095
"Stuttgart","Germany",5681,631858,832833,76,111,9.17702,48.78232
"Geneva","Switzerland",3885,573156,640774,89,148,6.14569,46.20222
"Dusseldorf","Germany",6038,558171,846240,66,92,6.77425,51.22492
"Doha","Qatar",4364,533218,652481,82,122,51.52245,25.27932
"Vienna","Austria",10001,519803,820533,63,52,16.37208,48.20849
"Kiev","Ukraine",3377,507786,608100,84,150,30.5238,50.45466
"Dortmund","Germany",3032,474906,545726,87,157,7.466,51.51494
"Lisbon","Portugal",3491,435732,563706,77,125,-9.13333,38.71667
"Athens","Greece",2907,428877,512968,84,148,23.71622,37.97945
"Malmo","Sweden",2655,421836,494100,85,159,13.00073,55.60587
"Basel","Switzerland",2655,407226,437485,93,153,7.57327,47.5584
"Antalya","Turkey",2217,368314,408391,90,166,30.69556,36.90812
"Prague","Czech Republic",8814,367133,627021,59,42,14.42076,50.08804
"Cologne","Germany",3125,353500,473704,75,113,6.95,50.93333
"Bucharest","Romania",7427,333051,467107,71,45,26.10626,44.43225
"Malta","Malta",1975,315099,363711,87,160,14.43333,35.91667
"Hamburg","Germany",3344,306417,401657,76,92,10.01534,53.57532
"Rotterdam","Netherland",2257,297762,359315,83,132,4.47917,51.9225
"Gothenburg","Sweden",1876,288168,354954,81,154,11.96679,57.70716
"Bari","Italy",1685,274581,337602,81,163,16.85118,41.11773
"Bristol","United Kingdom",1422,251170,268830,93,177,-71.08852,41.75709
"Larnaca","Cyprus",1592,244022,286908,85,153,33.62917,34.91667
"Naples","Italy",1466,243652,291300,84,166,14.25,40.83333
"Malaga","Spain",1330,226223,251746,90,170,-4.42034,36.72016
"Billund","Denmark",1407,225292,265196,85,160,9.10785,55.73349
"Edinburgh","United Kingdom",1520,213042,227590,94,140,-3.1932723,55.9483399
"Hahn","Germany",1274,207258,243110,85,163,-106.63475,35.1306
"Pisa","Italy",1194,196686,225801,87,165,10.39659,43.71553
"Hurghada","Egypt",1322,189500,235892,80,143,33.81291,27.25738
"Catania","Italy",1111,182200,215879,84,164,15.08719,37.50213
"Treviso","Italy",1069,167282,202041,83,156,12.245,45.66667
"Beijing","China",970,164365,230898,71,169,116.39723,39.9075
"Thessaloniki","Greece",1008,150222,180910,83,149,22.94389,40.64028
"East Midlands","United Kingdom",984,141567,157186,90,144,29.8,-19.2
"Heraklion","Greece",862,140751,156280,90,163,25.14341,35.32787
"Nuernberg","Germany",842,137610,159228,86,163,11.07752,49.45421
"Tirgu Mures","Romania",903,129416,162390,80,143,24.55747,46.54245
"Corfu","Greece",801,129088,145233,89,161,19.91972,39.62
"Bourgas","Bulgaria",796,123591,142981,86,155,27.46781,42.50606
"Tampere","Finland",746,122286,140994,87,164,23.78712,61.49911
"Rhodos","Greece",704,113925,127797,89,162,28.2225,36.44083
"Cairo","Egypt",2201,112338,176213,64,51,31.24967,30.06263
"Riga","Latvia",1901,111006,143534,77,58,24.10589,56.946
"Toronto","Canada",415,106571,120976,88,257,-79.4163,43.70011
"Alicante","Spain",620,106461,120722,88,172,-0.48149,38.34517
"Birmingham","United Kingdom",628,103672,120498,86,165,-1.8980725,52.4813678
"Glasgow","United Kingdom",652,103396,118032,88,159,-4.2499891,55.861147
"Leeds","United Kingdom",725,103056,111947,92,142,-1.5437941,53.7974185
"Kutaisi","Georgia",675,101486,121500,84,150,42.69459,42.26791
"Zagreb","Croatia",1426,99266,247796,40,70,15.97798,45.81444
"Palma De Mallorca","Spain",607,98657,109925,90,163,2.65024,39.56939
"Zakinthos","Greece",599,98418,109758,90,164,20.89528,37.79139
"Tenerife","Canary Islands - Spain",614,96373,109895,88,157,-16.25462,28.46824
"Bologna","Italy",556,85335,101488,84,153,11.33875,44.49381
"Lyon","France",741,84860,102735,83,115,4.84671,45.74846
"Monastir","Tunesia",644,84222,105772,80,131,21.34028,41.03111
"Baku","Azerbaijan",601,74840,107802,69,125,49.89201,40.37767
"Nice","France",445,71387,82770,86,160,7.26608,43.70313
"Reykjavik","Iceland",443,71037,82016,87,160,-21.89541,64.13548
"Liverpool","United Kingdom",430,69491,80009,87,162,-2.9805393,53.4054719
"Belgrade","Serbia",2020,67395,135217,50,33,20.46513,44.80401
"Sofia","Bulgaria",531,66432,92632,72,125,23.32415,42.69751
"Karlsruhe","Germany",381,58726,68677,86,154,8.38583,49.00472
"Minsk","Belarus",1289,56659,81310,70,44,27.56667,53.9
"Porto","Portugal",272,44622,50460,88,164,-8.61099,41.14961
"Venezia","Italy",324,42512,52814,80,131,12.32667,45.43861
"Hanover","Germany",263,40793,47241,86,155,9.73322,52.37052
"Sharm el Sheikh","Egypt",268,38842,47012,83,145,34.30499,27.85183
"St.Petersburg","Russia",366,38273,52617,73,105,30.26417,59.89444
"Cluj","Romania",262,37280,47100,79,142,23.6,46.76667
"Las Palmas","Canary Islands - Spain",185,31924,34965,91,173,-15.41343,28.09973
"Tirana","Albania",197,30659,36874,83,156,19.91667,41.33333
"Alghero","Italy",174,28415,31520,90,163,8.31806,40.55889
"Ovda","Israel",170,26717,32130,83,157,34.94153,29.94459
"Podgorica","Montenegro",198,26408,35285,75,133,19.26361,42.44111
"Argostólion","Greece",145,25465,26877,95,176,NA,NA
"Maastricht","Netherland",161,24144,30590,79,150,5.68889,50.84833
"Bergen","Norway",152,23115,27378,84,152,-74.07441,40.95977
"Pristina","Kosovo",194,23059,37068,62,119,21.16688,42.67272
"Lamezia Terme","Italy",153,22365,27540,81,146,16.3092,38.96589
"Skopje","Macedonia",188,22136,32538,68,118,21.41667,42
"Paphos","Cyprus",130,20598,24570,84,158,32.41667,34.76667
"Karpathos","Greece",121,20191,22546,90,167,27.21322,35.50701
"Aqaba","Jordan",133,19283,23771,81,145,35.00778,29.52667
"Fuerteventura","Canary Islands - Spain",127,19250,22936,84,152,-14,28.33333
"Lanzarote","Canary Islands - Spain",122,18407,21960,84,151,-13.54928,28.96233
"Sarajevo","Bosnia-Hercegovina",155,18114,27616,66,117,18.35644,43.84864
"Valencia","Spain",127,18021,20530,88,142,-0.37739,39.46975
"Faro","Portugal",102,17254,20059,86,169,-7.93223,37.01937
"Astana","Kazakhstan",123,17046,22325,76,139,71.44598,51.1801
"Djerba","Tunesia",120,16067,18971,85,134,10.85745,33.87576
"Chania","Greece",93,15878,17529,91,171,24.02921,35.51124
"Palermo","Italy",104,15350,18210,84,148,13.35976,38.11582
"Bodrum","Turkey",94,14660,16929,87,156,27.42917,37.03833
"Atyrau","Kazakhstan",134,13389,24147,55,100,51.88333,47.11667
"Ibiza","Spain",74,13182,16096,82,178,1.43296,38.90883
"Algiers","Algeria",264,11682,33004,35,44,3.04197,36.7525
"Varna","Bulgaria",82,11380,14740,77,139,27.91667,43.21667
"Bilbao","Spain",90,10930,13975,78,121,-2.92528,43.26271
"ENFIDHA","Tunesia",86,10883,12426,88,127,10.38083,36.13528
"Kos","Greece",65,9621,11673,82,148,103.52958,10.60932
"Bordeaux","France",68,9371,11777,80,138,-0.5805,44.84044
"Turku","Finland",52,7675,9360,82,148,22.26869,60.45148
"Marrakech","Morocco",38,6171,7155,86,162,-7.99994,31.63416
"Nantes","France",43,5051,7513,67,117,-1.55336,47.21725
"Agadir","Morocco",36,5020,6480,77,139,-9.59815,30.42018
"Eilat","Israel",32,4685,6048,77,146,34.94821,29.55805
"Valladolid","Spain",27,4569,4895,93,169,-4.72372,41.65518
"Seoul Incheon","Rep of Korea",18,4463,6192,72,248,126.73167,37.45361
"Dalaman","Turkey",25,3566,4200,85,143,28.8028,36.76591
"Marseille","France",23,3448,4019,86,150,5.38107,43.29695
"Izmir","Turkey",23,3355,4159,81,146,27.13838,38.41273
"Toulouse","France",25,3102,4183,74,124,1.44367,43.60426
"Marsá al `Alam","Egypt",16,2435,2880,85,152,55.18562,25.04169
"Strasbourg","France",26,2359,3460,68,91,7.74296,48.58342
"Rostov","Russia",24,2342,3728,63,98,39.72328,47.23135
"Bern","Switzerland",133,2310,4241,54,17,7.44744,46.94809
"Ekaterinburg","Russia",15,1809,2688,67,121,60.6125,56.8575
"Zaragoza","Spain",10,1730,1823,95,173,-117.00371,32.5027
"Tunis","Tunesia",22,1416,2312,61,64,9,34
"Rio De Janeiro","Brazil",8,1336,1800,74,167,-43.2075,-22.90278
"Krakow","Poland",19,1261,2674,47,66,19.93658,50.06143
"Pamplona","Spain",7,1149,1239,93,164,-1.64323,42.81687
"Antwerp","Belgium",18,1095,1746,63,61,4.40346,51.21989
"Katowice","Poland",12,1079,1848,58,90,19.02754,50.25842
"Verona","Italy",7,930,1112,84,133,10.99779,45.43419
"Sliac","Slovakia",20,923,3725,25,46,19.13715,48.61668
"Leon","Spain",6,918,1057,87,153,-101.66801,21.12131
"Granada","Spain",7,909,1154,79,130,-3.60667,37.18817
"Nicosia","Cyprus",5,800,861,93,160,33.36667,35.16667
"Egilsstadir","Iceland",6,778,1116,70,130,-14.39484,65.26533
"Krasnodar","Russia",11,729,1870,39,66,38.97603,45.04484
"Tbilisi","Georgia",6,665,860,77,111,44.83368,41.69411
"Faroe Island","Denmark",6,655,954,69,109,-18,65
"Kalamata","Greece",5,639,848,75,128,22.11417,37.03889
"Dubrovnik","Croatia",7,631,926,68,90,18.09216,42.64807
"Sevilla","Spain",5,608,799,76,122,-5.97613,37.38241
"Innsbruck","Austria",9,592,1654,36,66,11.39454,47.26266
"Trondheim","Norway",5,569,654,87,114,10.39506,63.43049
"Vitoria","Spain",3,565,600,94,188,-40.33778,-20.31944
"Casablanca","Morocco",5,546,924,59,109,-7.61138,33.58831
"Liege","Belgium",10,542,1334,41,54,5.56749,50.63373
"Bratislava","Slovakia",7,514,1308,39,73,17.10674,48.14816
"Kristiansand","Norway",4,498,596,84,124,7.9956,58.14671
"Salamanca","Spain",3,486,525,93,162,-5.66388,40.96882
"Stavanger","Norway",3,483,516,94,161,5.73332,58.97005
"Cagliari","Italy",3,482,500,96,161,9.13462,39.20738
"Bastia","France",4,477,574,83,119,9.45,42.70278
"Abu Dhabi","United Arab Emirates",8,471,1171,40,59,54.36667,24.46667
"Tokyo Narita","Japan",2,467,688,68,234,140.31667,35.78333
"Debrecen","Hungary",3,455,540,84,152,21.63333,47.53333
"Tokio","Japan",2,450,490,92,225,139.69171,35.6895
"Memmingen","Germany",3,444,540,82,148,10.18527,47.98372
"Gdansk","Poland",5,436,764,57,87,18.64637,54.35205
"Ningbo","China",4,419,948,44,105,121.54945,29.87819
"Kosice","Slovakia",4,408,500,82,102,21.25808,48.71395
"Belfast","United Kingdom",4,390,649,60,98,-5.93333,54.58333
"Gerona","Spain",2,384,460,83,192,2.82493,41.98311
"Ljubljana","Slovenia",6,379,770,49,63,14.50513,46.05108
"Santiago De Comp.","Spain",2,376,378,99,188,NA,NA
"Poznan","Poland",8,367,782,47,46,16.92993,52.40692
"TROMSO","Norway",2,359,360,100,180,18.95508,69.6489
"Le Havre","France",2,356,369,96,178,0.10767,49.4938
"Asturias","Spain",2,349,370,94,174,-5.86112,43.36662
"Odense","Denmark",2,342,378,90,171,10.38831,55.39594
"Brive","France",2,332,378,88,166,1.53333,45.15
"Wroclaw","Poland",3,330,567,58,110,17.03333,51.1
